City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,pandan,14.0453,124.1694,28.24,81,27,2.83,PH,1713915263
298,nema,57.5067,50.5011,13.56,93,100,3.48,RU,1713915264
299,qaqortoq,60.7167,-46.0333,0.59,100,100,1.95,GL,1713915264
300,tomatlan,19.9333,-105.25,30.25,39,11,3.98,MX,1713915264
301,cockburn town,21.4612,-71.1419,25.66,79,14,6.92,TC,1713915268
302,yigo village,13.5361,144.8886,25.16,94,75,4.63,GU,1713915269
303,kharp,66.8014,65.8081,-15.72,86,36,2.42,RU,1713915270
304,petatlan,17.5167,-101.2667,29.89,44,76,2.24,MX,1713915271
305,sanandaj,35.3144,46.9923,10.01,54,0,3.09,IR,1713915272
306,ishigaki,24.3448,124.1572,25.07,94,75,3.6,JP,1713915275
307,akureyri,65.6835,-18.0878,1.96,80,0,0.0,IS,1713915275
308,ust-nera,64.5667,143.2,0.83,93,95,1.3,RU,1713915275
309,richards bay,-28.783,32.0377,20.45,88,35,0.47,ZA,1713915275
310,south hedland,-20.4089,118.5983,22.96,31,12,4.63,AU,1713915276
311,mejit,10.2753,170.8646,27.4,86,90,9.34,MH,1713915277
312,kirs,59.3388,52.2447,2.66,82,62,6.36,RU,1713915277
313,kidal,18.4411,1.4078,31.63,12,13,5.21,ML,1713915280
314,san pedro pochutla,15.7333,-96.4667,32.84,55,18,1.69,MX,1713915280
315,hasaki,35.7333,140.8333,15.22,72,100,6.47,JP,1713915283
316,buka,40.8108,69.1986,19.1,43,58,0.95,UZ,1713915283
317,makabe,36.2667,140.1,16.9,86,100,1.67,JP,1713915284
318,pangody,65.85,74.4859,-16.88,97,43,3.99,RU,1713915284
319,maslyanino,54.3436,84.2111,-4.18,72,98,3.97,RU,1713915285
320,verkhnevilyuysk,63.4453,120.3167,0.25,97,100,3.38,RU,1713915287
321,nar'yan-mar,67.6713,53.087,-13.27,84,14,3.58,RU,1713915287
322,mana,5.6592,-53.7767,26.26,83,69,5.31,GF,1713915288
323,dingcheng,32.1272,115.0394,19.03,51,100,1.46,CN,1713915289
324,kutum,14.2,24.6667,25.12,12,2,3.7,SD,1713915293
325,opuwo,-18.0607,13.84,20.97,23,1,3.14,NA,1713915296
326,faya-largeau,17.9257,19.1043,32.65,10,8,5.56,TD,1713915298
327,taco pozo,-25.6167,-63.2833,22.17,94,48,4.92,AR,1713915299
328,st. john's,47.5649,-52.7093,4.88,64,75,5.14,CA,1713915172
329,yurty,56.0498,97.6348,-4.2,77,47,3.87,RU,1713915307
330,betio village,1.358,172.9211,32.02,75,52,6.96,KI,1713915309
331,salekhard,66.53,66.6019,-15.34,96,99,2.24,RU,1713915311
332,botou,38.0667,116.5667,15.27,42,0,3.45,CN,1713915311
333,langsa,4.4683,97.9683,25.05,94,100,0.55,ID,1713915315
334,sokoni,-6.4333,39.55,25.86,90,99,5.35,TZ,1713915317
335,maceio,-9.6658,-35.7353,27.69,83,75,1.54,BR,1713915318
336,horta,38.5333,-28.6333,15.57,85,72,5.36,PT,1713915318
337,sorong,-0.8833,131.25,27.91,84,67,3.49,ID,1713915319
338,eastham,41.8301,-69.9739,7.99,66,0,2.57,US,1713915137
339,lorengau,-2.0226,147.2712,30.06,68,67,2.37,PG,1713915324
340,kapa'a,22.0752,-159.319,27.99,76,40,8.23,US,1713915325
341,jiwani,25.05,61.7417,25.51,85,0,2.62,PK,1713915325
342,nuuk,64.1835,-51.7216,5.34,75,75,2.06,GL,1713915326
343,nemuro,43.3236,145.575,4.36,81,51,4.93,JP,1713915326
344,quellon,-43.1167,-73.6167,9.86,80,100,5.44,CL,1713915082
345,coronel dorrego,-38.7187,-61.2873,10.95,47,0,6.24,AR,1713915267
346,tulun,54.5611,100.5792,-0.74,61,100,2.76,RU,1713915329
347,cidreira,-30.1811,-50.2056,22.56,89,1,1.56,BR,1713915332
348,minas de marcona,-15.2119,-75.1103,17.16,85,46,6.06,PE,1713915332
349,yelizovo,53.1873,158.3805,10.08,34,0,2.0,RU,1713915332
350,island harbour,50.724,-1.2758,8.29,81,54,0.89,GB,1713915333
351,muli,2.9167,73.5667,29.39,76,91,5.9,MV,1713915333
352,pontianak,-0.0333,109.3333,23.99,100,40,1.03,ID,1713915333
